file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,brokerId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,mqClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,engineType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,configurationName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,configurationId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,region,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,brokerName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,ListConfigurations/0,mqClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,CreateConfiguration/0,mqClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,CreateConfiguration/0,configurationName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,DescribeBroker/0,mqClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,DescribeBroker/0,brokerName,1
