file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/s3/src/main/java/aws/example/s3/CopyObjectSingleOperation.java,CopyObjectSingleOperation,main/1[java.lang.String[]],false,18,4,0,0,0,3,6,17,0,6,1,6,0,0,0,0,1,0,3,0,6,0,1,0,0,0,34,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,setUp/0,false,29,2,0,0,0,3,9,20,1,2,0,9,0,0,0,1,1,0,7,0,9,0,2,0,0,0,23,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,ListConfigurations/0,false,101,4,1,0,1,1,3,5,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,CreateConfiguration/0,false,77,3,1,0,1,1,4,5,0,1,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,DescribeBroker/0,false,85,3,1,0,1,1,4,5,0,1,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,CreateBroker/0,false,69,3,1,0,1,1,4,5,0,1,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,UpdateBrokerConfiguration/0,false,109,3,1,0,1,1,4,5,0,1,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,whenInitializingMQ_thenNotNull/0,false,62,2,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,ListBrokers/0,false,93,4,1,0,1,1,3,5,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/iam/src/main/java/com/example/iam/CreateAccountAlias.java,com.example.iam.CreateAccountAlias,main/1[java.lang.String[]],false,23,3,1,0,1,2,7,13,0,4,1,7,1,1,0,1,0,0,1,3,4,0,1,0,0,0,16,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/iam/src/main/java/com/example/iam/CreateAccountAlias.java,com.example.iam.CreateAccountAlias,"createIAMAccountAlias/2[com.example.iam.IamClient,java.lang.String]",false,48,2,1,1,0,2,9,11,0,1,2,9,0,0,0,0,1,0,1,1,1,1,1,0,0,0,16,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,"getObjectBytes/2[java.lang.String,java.lang.String]",false,133,8,2,1,1,4,17,32,2,10,2,17,1,1,1,2,2,1,2,4,9,2,4,0,0,1,42,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,modList/1[java.util.List<java.lang.String>],false,119,1,4,1,3,1,8,10,2,3,1,8,0,0,0,0,0,0,0,5,2,4,1,0,0,1,7,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,getTags/1[java.lang.String],false,83,9,5,1,4,4,18,25,2,10,1,18,4,2,2,0,1,0,1,1,10,0,3,0,0,0,33,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,"putVideo/4[byte[],java.lang.String,java.lang.String,java.lang.String]",false,61,4,2,1,1,2,12,12,0,3,4,12,1,1,0,0,1,0,2,1,3,1,1,0,0,0,19,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,getClient/0,false,52,1,3,3,0,1,5,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,toXml/1[java.util.List<com.example.Tags>],false,180,4,6,1,5,3,10,25,2,7,1,10,0,0,1,0,1,0,5,0,7,0,2,0,0,0,26,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,convertToString/1[org.w3c.dom.Document],false,214,2,2,1,1,2,7,15,2,4,1,7,1,1,0,0,1,0,0,0,4,0,1,0,0,0,22,2,0,false
