file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/indicator/RectangleIndicator.java,com.youth.banner.indicator.RectangleIndicator,onDraw/1[com.youth.banner.indicator.Canvas],rectF,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/indicator/RectangleIndicator.java,com.youth.banner.indicator.RectangleIndicator,"RectangleIndicator/3[com.youth.banner.indicator.Context,com.youth.banner.indicator.AttributeSet,int]",rectF,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/app/src/main/java/com/test/banner/adapter/ImageTitleNumAdapter.java,com.test.banner.adapter.ImageTitleNumAdapter$BannerViewHolder,BannerViewHolder/1[com.test.banner.adapter.View],numIndicator,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/app/src/main/java/com/test/banner/adapter/ImageTitleNumAdapter.java,com.test.banner.adapter.ImageTitleNumAdapter$BannerViewHolder,BannerViewHolder/1[com.test.banner.adapter.View],imageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/app/src/main/java/com/test/banner/adapter/ImageTitleNumAdapter.java,com.test.banner.adapter.ImageTitleNumAdapter$BannerViewHolder,BannerViewHolder/1[com.test.banner.adapter.View],title,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/util/BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,onDestroy/0,mLifecycleOwner,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/util/BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,onDestroy/0,mObserver,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/util/BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,onStop/0,mLifecycleOwner,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/util/BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,onStop/0,mObserver,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/util/BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,onStart/0,mLifecycleOwner,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/banner/banner/src/main/java/com/youth/banner/util/BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,onStart/0,mObserver,1
