file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onDialogPositiveClick/1[me.dm7.barcodescanner.zbar.sample.DialogFragment],mScannerView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",mScannerView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",CAMERA_ID,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",AUTO_FOCUS_STATE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",mAutoFocus,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",mSelectedIndices,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",SELECTED_FORMATS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",FLASH_STATE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",mFlash,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateView/3[me.dm7.barcodescanner.zbar.sample.LayoutInflater,me.dm7.barcodescanner.zbar.sample.ViewGroup,me.dm7.barcodescanner.zbar.sample.Bundle]",mCameraId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onOptionsItemSelected/1[me.dm7.barcodescanner.zbar.sample.MenuItem],mScannerView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onOptionsItemSelected/1[me.dm7.barcodescanner.zbar.sample.MenuItem],mAutoFocus,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onOptionsItemSelected/1[me.dm7.barcodescanner.zbar.sample.MenuItem],mSelectedIndices,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onOptionsItemSelected/1[me.dm7.barcodescanner.zbar.sample.MenuItem],mFlash,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onOptionsItemSelected/1[me.dm7.barcodescanner.zbar.sample.MenuItem],mCameraId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onResume/0,mScannerView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onResume/0,mAutoFocus,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onResume/0,mCameraId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onResume/0,mFlash,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onCameraSelected/1[int],mScannerView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onCameraSelected/1[int],mAutoFocus,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onCameraSelected/1[int],mCameraId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onCameraSelected/1[int],mFlash,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],CAMERA_ID,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],AUTO_FOCUS_STATE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],mAutoFocus,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],mSelectedIndices,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],SELECTED_FORMATS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],FLASH_STATE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],mFlash,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onSaveInstanceState/1[me.dm7.barcodescanner.zbar.sample.Bundle],mCameraId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateOptionsMenu/2[me.dm7.barcodescanner.zbar.sample.Menu,me.dm7.barcodescanner.zbar.sample.MenuInflater]",mAutoFocus,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,"onCreateOptionsMenu/2[me.dm7.barcodescanner.zbar.sample.Menu,me.dm7.barcodescanner.zbar.sample.MenuInflater]",mFlash,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,setupFormats/0,mScannerView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,setupFormats/0,mSelectedIndices,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onPause/0,mScannerView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/FullScannerFragment.java,me.dm7.barcodescanner.zbar.sample.FullScannerFragment,onFormatsSaved/1[java.util.ArrayList<java.lang.Integer>],mSelectedIndices,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/MainActivity.java,me.dm7.barcodescanner.zbar.sample.MainActivity,"onRequestPermissionsResult/3[int,java.lang.String[],int[]]",ZBAR_CAMERA_PERMISSION,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/barcodescanner/zbar-sample/src/main/java/me/dm7/barcodescanner/zbar/sample/MainActivity.java,me.dm7.barcodescanner.zbar.sample.MainActivity,"onRequestPermissionsResult/3[int,java.lang.String[],int[]]",mClss,2
