file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,isActive/0,pos,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,"onTick/2[boolean,boolean]",isSafeToCancel,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,"onTick/2[boolean,boolean]",calcFailed,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,"onTick/2[boolean,boolean]",toPlace,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,"onTick/2[boolean,boolean]",fake,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,BackfillProcess/1[baritone.Baritone],baritone,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,partOfCurrentMovement/1[baritone.process.BlockPos],pos,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,partOfCurrentMovement/1[baritone.process.BlockPos],movement,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,partOfCurrentMovement/1[baritone.process.BlockPos],exec,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/process/BackfillProcess.java,baritone.process.BackfillProcess,toFillIn/0,pos,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/api/java/baritone/api/behavior/IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,ticksRemainingInSegment/1[boolean],current,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/api/java/baritone/api/behavior/IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,ticksRemainingInSegment/1[boolean],includeCurrentMovement,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/api/java/baritone/api/behavior/IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,ticksRemainingInSegment/1[boolean],start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/api/java/baritone/api/command/datatypes/IDatatypeFor.java,baritone.api.command.datatypes.IDatatypeFor,get/1[baritone.api.command.datatypes.IDatatypeContext],ctx,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,InvertCommand/1[baritone.api.IBaritone],baritone,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,"execute/2[java.lang.String,baritone.api.command.argument.IArgConsumer]",args,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,"execute/2[java.lang.String,baritone.api.command.argument.IArgConsumer]",goal,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,"execute/2[java.lang.String,baritone.api.command.argument.IArgConsumer]",label,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,"execute/2[java.lang.String,baritone.api.command.argument.IArgConsumer]",customGoalProcess,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,"tabComplete/2[java.lang.String,baritone.api.command.argument.IArgConsumer]",args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/command/defaults/InvertCommand.java,baritone.command.defaults.InvertCommand,"tabComplete/2[java.lang.String,baritone.api.command.argument.IArgConsumer]",label,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",res,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",src,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",result,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",x,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",y,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous16,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",z,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",result,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",x,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",y,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",z,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",res,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",src,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous17,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",res,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",src,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",result,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",x,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",y,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous18,"apply/5[baritone.pathing.movement.CalculationContext,int,int,int,baritone.utils.pathing.MutableMoveResult]",z,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/tweaker/src/main/java/baritone/launch/tweaker/BaritoneTweaker.java,baritone.launch.tweaker.BaritoneTweaker,injectIntoClassLoader/1[baritone.launch.tweaker.LaunchClassLoader],classLoader,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/tweaker/src/main/java/baritone/launch/tweaker/BaritoneTweaker.java,baritone.launch.tweaker.BaritoneTweaker,injectIntoClassLoader/1[baritone.launch.tweaker.LaunchClassLoader],s,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/tweaker/src/main/java/baritone/launch/tweaker/BaritoneTweaker.java,baritone.launch.tweaker.BaritoneTweaker,injectIntoClassLoader/1[baritone.launch.tweaker.LaunchClassLoader],tweakClasses,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/tweaker/src/main/java/baritone/launch/tweaker/BaritoneTweaker.java,baritone.launch.tweaker.BaritoneTweaker,injectIntoClassLoader/1[baritone.launch.tweaker.LaunchClassLoader],obfuscation,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous19,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",src,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baritone/src/main/java/baritone/pathing/movement/Moves.java,baritone.pathing.movement.Moves$Anonymous19,"apply0/2[baritone.pathing.movement.CalculationContext,baritone.api.utils.BetterBlockPos]",context,1
