file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/sample/src/main/java/com/zhy/sample/MultiItemRvActivity.java,com.zhy.sample.MultiItemRvActivity,onCreate/1[com.zhy.sample.Bundle],mDatas,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/sample/src/main/java/com/zhy/sample/MultiItemRvActivity.java,com.zhy.sample.MultiItemRvActivity,onCreate/1[com.zhy.sample.Bundle],mRecyclerView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/sample/src/main/java/com/zhy/sample/MultiItemRvActivity.java,com.zhy.sample.MultiItemRvActivity,onCreate/1[com.zhy.sample.Bundle],mLoadMoreWrapper,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,"addDelegate/2[int,com.zhy.adapter.abslistview.base.ItemViewDelegate<T>]",delegates,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,getItemViewLayoutId/1[int],delegates,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,getItemViewType/1[com.zhy.adapter.abslistview.base.ItemViewDelegate],delegates,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,addDelegate/1[com.zhy.adapter.abslistview.base.ItemViewDelegate<T>],delegates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,removeDelegate/1[int],delegates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,"getItemViewDelegate/2[T,int]",delegates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,removeDelegate/1[com.zhy.adapter.abslistview.base.ItemViewDelegate<T>],delegates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,"convert/3[com.zhy.adapter.abslistview.ViewHolder,T,int]",delegates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,getItemViewDelegateCount/0,delegates,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/base-adapter-library/src/main/java/com/zhy/adapter/abslistview/base/ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,"getItemViewType/2[T,int]",delegates,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/baseadapter-recyclerview/src/main/java/com/zhy/adapter/recyclerview/wrapper/EmptyWrapper.java,com.zhy.adapter.recyclerview.wrapper.EmptyWrapper,"onCreateViewHolder/2[com.zhy.adapter.recyclerview.wrapper.ViewGroup,int]",mEmptyView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/baseadapter-recyclerview/src/main/java/com/zhy/adapter/recyclerview/wrapper/EmptyWrapper.java,com.zhy.adapter.recyclerview.wrapper.EmptyWrapper,"onCreateViewHolder/2[com.zhy.adapter.recyclerview.wrapper.ViewGroup,int]",mEmptyLayoutId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/baseadapter-recyclerview/src/main/java/com/zhy/adapter/recyclerview/wrapper/EmptyWrapper.java,com.zhy.adapter.recyclerview.wrapper.EmptyWrapper,"onCreateViewHolder/2[com.zhy.adapter.recyclerview.wrapper.ViewGroup,int]",mInnerAdapter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/baseAdapter/baseadapter-recyclerview/src/main/java/com/zhy/adapter/recyclerview/wrapper/EmptyWrapper.java,com.zhy.adapter.recyclerview.wrapper.EmptyWrapper,getItemViewType/1[int],ITEM_TYPE_EMPTY,1
