file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setCover/1[java.lang.String],cover,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setIndex/1[java.lang.String],index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setGotoX/1[java.lang.String],gotoX,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setCat_desc/1[java.lang.String],cat_desc,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setParam/1[java.lang.String],param,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setNewest_cat/1[java.lang.String],newest_cat,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setOfficial_verify/1[com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo.DataBean.ItemsBean.OfficialVerifyBean],official_verify,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setTitle/1[java.lang.String],title,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setNewest_season/1[java.lang.String],newest_season,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setFinish/1[int],finish,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setUri/1[java.lang.String],uri,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setTotal_count/1[int],total_count,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/search/SearchBangumiInfo.java,com.hotbitmapgg.bilibili.entity.search.SearchBangumiInfo$DataBean$ItemsBean,setStatus/1[int],status,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/user/UserPlayGameInfo.java,com.hotbitmapgg.bilibili.entity.user.UserPlayGameInfo,"writeToParcel/2[com.hotbitmapgg.bilibili.entity.user.Parcel,int]",flags,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/user/UserPlayGameInfo.java,com.hotbitmapgg.bilibili.entity.user.UserPlayGameInfo,"writeToParcel/2[com.hotbitmapgg.bilibili.entity.user.Parcel,int]",dest,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/user/UserPlayGameInfo.java,com.hotbitmapgg.bilibili.entity.user.UserPlayGameInfo,setData/1[com.hotbitmapgg.bilibili.entity.user.UserPlayGameInfo.DataBean],data,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bilibili-android-client/app/src/main/java/com/hotbitmapgg/bilibili/entity/user/UserPlayGameInfo.java,com.hotbitmapgg.bilibili.entity.user.UserPlayGameInfo,setStatus/1[boolean],status,2
