file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,op,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,temp,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,pushData2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,pushData1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,smallData,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,i,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,pushData4,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,opcodes,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,randomBytes/1[int],size,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,randomBytes/1[int],bytes,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,b2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,inv,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,p1,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,b3,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,p2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,message,3
