file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,injection/1[java.lang.Object],field,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,injection/1[java.lang.Object],ioc,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,"injection/2[java.lang.Object,java.lang.Object]",field,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,hasInjectFields/0,field,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,getType/0,field,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,isSingleton/0,field,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,"FieldInjector/2[com.hellokaton.blade.ioc.Ioc,java.lang.reflect.Field]",field,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/ioc/bean/FieldInjector.java,com.hellokaton.blade.ioc.bean.FieldInjector,"FieldInjector/2[com.hellokaton.blade.ioc.Ioc,java.lang.reflect.Field]",ioc,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/server/HttpServerHandler.java,com.hellokaton.blade.server.HttpServerHandler,"isStaticFile/2[com.hellokaton.blade.mvc.http.HttpMethod,java.lang.String]",notStaticUri,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/server/HttpServerHandler.java,com.hellokaton.blade.server.HttpServerHandler,buildResponse/1[com.hellokaton.blade.mvc.WebContext],routeHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/server/HttpServerHandler.java,com.hellokaton.blade.server.HttpServerHandler,executeLogic/1[com.hellokaton.blade.mvc.WebContext],routeHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/server/HttpServerHandler.java,com.hellokaton.blade.server.HttpServerHandler,executeLogic/1[com.hellokaton.blade.mvc.WebContext],staticFileHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/server/HttpServerHandler.java,com.hellokaton.blade.server.HttpServerHandler,executeLogic/1[com.hellokaton.blade.mvc.WebContext],routeMatcher,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/server/HttpServerHandler.java,com.hellokaton.blade.server.HttpServerHandler,handleException/1[java.lang.Throwable],routeHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-kit/src/main/java/com/hellokaton/blade/kit/UUID.java,com.hellokaton.blade.kit.UUID,UU32/1[java.util.UUID],_UU32,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-kit/src/main/java/com/hellokaton/blade/kit/UUID.java,com.hellokaton.blade.kit.UUID,"random/2[int,int]",r,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-kit/src/main/java/com/hellokaton/blade/kit/UUID.java,com.hellokaton.blade.kit.UUID,UU64/1[java.util.UUID],_UU64,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-kit/src/main/java/com/hellokaton/blade/kit/UUID.java,com.hellokaton.blade.kit.UUID,UU16FromUU64/1[java.lang.String],_UU16,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-kit/src/main/java/com/hellokaton/blade/kit/UUID.java,com.hellokaton.blade.kit.UUID,UU16FromUU64/1[java.lang.String],_UU64,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blade/blade-core/src/main/java/com/hellokaton/blade/mvc/http/HttpRequest.java,com.hellokaton.blade.mvc.http.HttpRequest,parameterNames/0,formParams,1
