file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/demo/src/main/java/io/alterac/blurkit/demo/MainActivity.java,io.alterac.blurkit.demo.MainActivity,onStop/0,blurLayout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/demo/src/main/java/io/alterac/blurkit/demo/MainActivity.java,io.alterac.blurkit.demo.MainActivity,onCreate/1[io.alterac.blurkit.demo.Bundle],blurLayout,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/demo/src/main/java/io/alterac/blurkit/demo/MainActivity.java,io.alterac.blurkit.demo.MainActivity,onCreate/1[io.alterac.blurkit.demo.Bundle],movement,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/demo/src/main/java/io/alterac/blurkit/demo/MainActivity.java,io.alterac.blurkit.demo.MainActivity,onStart/0,blurLayout,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setBlurRadius/1[int],mLockedBitmap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setBlurRadius/1[int],mBlurRadius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockView/0,mLockedBitmap,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockView/0,mDownscaleFactor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockView/0,mAlpha,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockView/0,mBlurRadius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockView/0,mViewLocked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockView/0,mActivityView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockPosition/0,mLockedPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,lockPosition/0,mPositionLocked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,unlockPosition/0,mLockedPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,unlockPosition/0,mPositionLocked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setFPS/1[int],mRunning,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setFPS/1[int],mAttachedToWindow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setFPS/1[int],mFPS,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,getFPS/0,mFPS,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,invalidate/0,mImageView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,getBlurRadius/0,mBlurRadius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setDownscaleFactor/1[float],mDownscaleFactor,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,setDownscaleFactor/1[float],mLockedBitmap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,onDetachedFromWindow/0,mAttachedToWindow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",DEFAULT_FPS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",mDownscaleFactor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",mImageView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",DEFAULT_BLUR_RADIUS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",mBlurRadius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",mAlpha,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/blurkit-android/blurkit/src/main/java/io/alterac/blurkit/BlurLayout.java,io.alterac.blurkit.BlurLayout,"BlurLayout/2[io.alterac.blurkit.Context,io.alterac.blurkit.AttributeSet]",mCornerRadius,2
