file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setCameraDrawable/1[com.flipboard.bottomsheet.commons.Drawable],cameraDrawable,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setMaxItems/1[int],maxItems,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setShowCameraOption/1[boolean],showCameraOption,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,Builder/1[com.flipboard.bottomsheet.commons.Context],context,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setPickerDrawable/1[com.flipboard.bottomsheet.commons.Drawable],pickerDrawable,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setTitle/1[int],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setTitle/1[int],title,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,create/0,imageProvider,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setImageProvider/1[com.flipboard.bottomsheet.commons.ImagePickerSheetView.ImageProvider],imageProvider,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setOnTileSelectedListener/1[com.flipboard.bottomsheet.commons.ImagePickerSheetView.OnTileSelectedListener],onTileSelectedListener,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setCameraDrawable/1[int],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setTileLayout/1[int],tileLayout,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setPickerDrawable/1[int],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setTitle/1[java.lang.String],title,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setShowPickerOption/1[boolean],showPickerOption,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView$SheetMenuItem,isSeparator/0,SEPARATOR,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView$SheetMenuItem,SheetMenuItem/1[com.flipboard.bottomsheet.commons.MenuItem],menuItem,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView$SheetMenuItem,getMenuItem/0,menuItem,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView$SheetMenuItem,isEnabled/0,menuItem,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/IntentPickerSheetView.java,com.flipboard.bottomsheet.commons.IntentPickerSheetView$Adapter$ViewHolder,ViewHolder/1[com.flipboard.bottomsheet.commons.View],icon,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/IntentPickerSheetView.java,com.flipboard.bottomsheet.commons.IntentPickerSheetView$Adapter$ViewHolder,ViewHolder/1[com.flipboard.bottomsheet.commons.View],label,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/Util.java,com.flipboard.bottomsheet.commons.Util$ShadowOutline,"ShadowOutline/2[int,int]",width,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/Util.java,com.flipboard.bottomsheet.commons.Util$ShadowOutline,"ShadowOutline/2[int,int]",height,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/Util.java,com.flipboard.bottomsheet.commons.Util$ShadowOutline,"getOutline/2[com.flipboard.bottomsheet.commons.View,com.flipboard.bottomsheet.commons.Outline]",width,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/Util.java,com.flipboard.bottomsheet.commons.Util$ShadowOutline,"getOutline/2[com.flipboard.bottomsheet.commons.View,com.flipboard.bottomsheet.commons.Outline]",height,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView,prepareMenuItems/0,menuType,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView,prepareMenuItems/0,menu,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView,prepareMenuItems/0,items,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/bottomsheet/bottomsheet-commons/src/main/java/com/flipboard/bottomsheet/commons/MenuSheetView.java,com.flipboard.bottomsheet.commons.MenuSheetView,"MenuSheetView/4[com.flipboard.bottomsheet.commons.Context,com.flipboard.bottomsheet.commons.MenuSheetView.MenuType,java.lang.CharSequence,com.flipboard.bottomsheet.commons.MenuSheetView.OnMenuItemClickListener]",absListView,3
