file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/test/java/com/mojang/brigadier/arguments/BoolArgumentTypeTest.java,com.mojang.brigadier.arguments.BoolArgumentTypeTest,parse/0,type,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/test/java/com/mojang/brigadier/arguments/BoolArgumentTypeTest.java,com.mojang.brigadier.arguments.BoolArgumentTypeTest,setUp/0,type,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,getUsageText/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,"parse/2[com.mojang.brigadier.StringReader,com.mojang.brigadier.context.CommandContextBuilder<S>]",literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,equals/1[java.lang.Object],literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,getSortedKey/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,hashCode/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,getExamples/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,getName/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,getLiteral/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,createBuilder/0,literal,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,"LiteralCommandNode/6[java.lang.String,com.mojang.brigadier.Command<S>,java.util.function.Predicate<S>,com.mojang.brigadier.tree.CommandNode<S>,com.mojang.brigadier.RedirectModifier<S>,boolean]",literalLowerCase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,"LiteralCommandNode/6[java.lang.String,com.mojang.brigadier.Command<S>,java.util.function.Predicate<S>,com.mojang.brigadier.tree.CommandNode<S>,com.mojang.brigadier.RedirectModifier<S>,boolean]",literal,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,toString/0,literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,"listSuggestions/2[com.mojang.brigadier.context.CommandContext<S>,com.mojang.brigadier.suggestion.SuggestionsBuilder]",literalLowerCase,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,"listSuggestions/2[com.mojang.brigadier.context.CommandContext<S>,com.mojang.brigadier.suggestion.SuggestionsBuilder]",literal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/tree/LiteralCommandNode.java,com.mojang.brigadier.tree.LiteralCommandNode,parse/1[com.mojang.brigadier.StringReader],literal,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,getText/0,text,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,getTooltip/0,tooltip,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,"Suggestion/3[com.mojang.brigadier.context.StringRange,java.lang.String,com.mojang.brigadier.Message]",tooltip,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,"Suggestion/3[com.mojang.brigadier.context.StringRange,java.lang.String,com.mojang.brigadier.Message]",range,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,"Suggestion/3[com.mojang.brigadier.context.StringRange,java.lang.String,com.mojang.brigadier.Message]",text,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,equals/1[java.lang.Object],tooltip,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,equals/1[java.lang.Object],range,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/brigadier/src/main/java/com/mojang/brigadier/suggestion/Suggestion.java,com.mojang.brigadier.suggestion.Suggestion,equals/1[java.lang.Object],text,1
