file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"StackTrackingMethodVisitor/4[org.openjdk.btrace.instr.MethodVisitor,java.lang.String,java.lang.String,boolean]",state,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitFieldInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",state,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitInsn/1[int],state,178
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitInsn/1[int],effectiveHandlers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitMethodInsn/5[int,java.lang.String,java.lang.String,java.lang.String,boolean]",state,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitVarInsn/2[int,int]",state,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitJumpInsn/2[int,org.openjdk.btrace.instr.Label]",state,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitLookupSwitchInsn/3[org.openjdk.btrace.instr.Label,int[],org.openjdk.btrace.instr.Label[]]",state,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitTypeInsn/2[int,java.lang.String]",state,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitIntInsn/2[int,int]",state,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLabel/1[org.openjdk.btrace.instr.Label],visitedLabels,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLabel/1[org.openjdk.btrace.instr.Label],tryCatchEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLabel/1[org.openjdk.btrace.instr.Label],handlers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLabel/1[org.openjdk.btrace.instr.Label],tryCatchStart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLabel/1[org.openjdk.btrace.instr.Label],effectiveHandlers,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLabel/1[org.openjdk.btrace.instr.Label],state,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitIincInsn/2[int,int]",state,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitTableSwitchInsn/4[int,int,org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label[]]",state,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,visitLdcInsn/1[java.lang.Object],state,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitTryCatchBlock/4[org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label,java.lang.String]",tryCatchEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitTryCatchBlock/4[org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label,java.lang.String]",handlers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitTryCatchBlock/4[org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label,org.openjdk.btrace.instr.Label,java.lang.String]",tryCatchStart,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-core/src/main/java/org/openjdk/btrace/core/aggregation/HistogramData.java,org.openjdk.btrace.core.aggregation.HistogramData,getCounts/0,counts,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-core/src/main/java/org/openjdk/btrace/core/aggregation/HistogramData.java,org.openjdk.btrace.core.aggregation.HistogramData,print/1[java.io.PrintWriter],counts,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-core/src/main/java/org/openjdk/btrace/core/aggregation/HistogramData.java,org.openjdk.btrace.core.aggregation.HistogramData,print/1[java.io.PrintWriter],values,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-core/src/main/java/org/openjdk/btrace/core/aggregation/HistogramData.java,org.openjdk.btrace.core.aggregation.HistogramData,getValues/0,values,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-core/src/main/java/org/openjdk/btrace/core/aggregation/HistogramData.java,org.openjdk.btrace.core.aggregation.HistogramData,"HistogramData/2[long[],long[]]",counts,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-core/src/main/java/org/openjdk/btrace/core/aggregation/HistogramData.java,org.openjdk.btrace.core.aggregation.HistogramData,"HistogramData/2[long[],long[]]",values,3
