file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/test/btrace/onmethod/leveled/ArgsDuration2Err.java,traces.onmethod.leveled.ArgsDuration2Err,"args/3[java.lang.Object,long,java.lang.Throwable]",dur,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/test/btrace/onmethod/leveled/ArgsDuration2Err.java,traces.onmethod.leveled.ArgsDuration2Err,"args/3[java.lang.Object,long,java.lang.Throwable]",err,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/test/btrace/onmethod/leveled/ArgsDuration2Err.java,traces.onmethod.leveled.ArgsDuration2Err,"args/3[java.lang.Object,long,java.lang.Throwable]",self,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/test/btrace/onmethod/leveled/ArgsDuration2Err.java,traces.onmethod.leveled.ArgsDuration2Err,"args2/3[java.lang.Object,long,java.lang.Throwable]",dur,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/test/btrace/onmethod/leveled/ArgsDuration2Err.java,traces.onmethod.leveled.ArgsDuration2Err,"args2/3[java.lang.Object,long,java.lang.Throwable]",err,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/test/btrace/onmethod/leveled/ArgsDuration2Err.java,traces.onmethod.leveled.ArgsDuration2Err,"args2/3[java.lang.Object,long,java.lang.Throwable]",self,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"StackTrackingMethodVisitor/4[org.openjdk.btrace.instr.MethodVisitor,java.lang.String,java.lang.String,boolean]",args,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"StackTrackingMethodVisitor/4[org.openjdk.btrace.instr.MethodVisitor,java.lang.String,java.lang.String,boolean]",isStatic,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"StackTrackingMethodVisitor/4[org.openjdk.btrace.instr.MethodVisitor,java.lang.String,java.lang.String,boolean]",mv,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"StackTrackingMethodVisitor/4[org.openjdk.btrace.instr.MethodVisitor,java.lang.String,java.lang.String,boolean]",className,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"StackTrackingMethodVisitor/4[org.openjdk.btrace.instr.MethodVisitor,java.lang.String,java.lang.String,boolean]",desc,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitFieldInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",owner,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitFieldInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",t,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitFieldInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",name,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/btrace/btrace-instr/src/main/java/org/openjdk/btrace/instr/StackTrackingMethodVisitor.java,org.openjdk.btrace.instr.StackTrackingMethodVisitor,"visitFieldInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",sl,2
