file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/androidTest/java/com/example/butterknife/functional/OnItemSelectedTest.java,com.example.butterknife.functional.OnItemSelectedTest$OptionalId,clear/0,selectedPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/androidTest/java/com/example/butterknife/functional/OnItemSelectedTest.java,com.example.butterknife.functional.OnItemSelectedTest$OptionalId,select/1[int],selectedPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/androidTest/java/com/example/butterknife/functional/OnItemLongClickTest.java,com.example.butterknife.functional.OnItemLongClickTest$OptionalId,itemLongClick/1[int],clickedPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/androidTestReflect/java/com/example/butterknife/functional/BindDimenFailureTest.java,com.example.butterknife.functional.BindDimenFailureTest,typeMustBeIntOrFloat/0,tree,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/FieldTypefaceBinding.java,butterknife.compiler.FieldTypefaceBinding$TypefaceStyles,TypefaceStyles/1[int],value,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/FieldTypefaceBinding.java,butterknife.compiler.FieldTypefaceBinding$TypefaceStyles,fromValue/1[int],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/androidTestReflect/java/com/example/butterknife/functional/BindArrayFailureTest.java,com.example.butterknife.functional.BindArrayFailureTest,typeMustBeSupported/0,tree,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-runtime/src/main/java/butterknife/internal/ImmutableList.java,butterknife.internal.ImmutableList,contains/1[java.lang.Object],views,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-runtime/src/main/java/butterknife/internal/ImmutableList.java,butterknife.internal.ImmutableList,ImmutableList/1[T[]],views,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-runtime/src/main/java/butterknife/internal/ImmutableList.java,butterknife.internal.ImmutableList,get/1[int],views,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/androidTest/java/com/example/butterknife/functional/OnTouchTest.java,com.example.butterknife.functional.OnTouchTest$MultipleIds,touch/0,touches,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java,com.example.butterknife.library.SimpleActivity,sayGetOffMe/0,hello,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java,com.example.butterknife.library.SimpleActivity,sayHello/0,headerViews,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/butterknife/butterknife-integration-test/src/main/java/com/example/butterknife/library/SimpleActivity.java,com.example.butterknife.library.SimpleActivity,sayHello/0,sayHello,1
