file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/exception/user/UserPasswordRetryLimitExceedException.java,com.oddfar.campus.common.exception.user.UserPasswordRetryLimitExceedException,"UserPasswordRetryLimitExceedException/2[int,int]",true,13,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,limitScriptText/0,false,51,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,9,2,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,redisTemplate/1[com.oddfar.campus.common.config.RedisConnectionFactory],false,22,5,1,0,1,1,6,11,1,2,1,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,limitScript/0,false,41,3,1,0,1,1,3,6,1,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,refreshCache/0,false,81,4,2,0,2,1,2,4,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,page/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],false,26,6,3,0,3,1,3,4,1,1,1,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,add/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],false,50,7,4,0,4,2,5,6,2,0,1,5,0,0,0,0,0,0,4,0,0,1,1,0,0,0,7,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,getConfigKey/1[java.lang.String],false,44,4,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,getInfo/1[java.lang.Long],false,34,6,3,0,3,1,3,4,1,1,1,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,10,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,edit/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],false,60,7,4,0,4,2,5,6,2,0,1,5,0,0,0,0,0,0,4,0,0,1,1,0,0,0,7,1,0,false
