file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/exception/user/UserPasswordRetryLimitExceedException.java,com.oddfar.campus.common.exception.user.UserPasswordRetryLimitExceedException,"UserPasswordRetryLimitExceedException/2[int,int]",retryLimitCount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/exception/user/UserPasswordRetryLimitExceedException.java,com.oddfar.campus.common.exception.user.UserPasswordRetryLimitExceedException,"UserPasswordRetryLimitExceedException/2[int,int]",lockTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,redisTemplate/1[com.oddfar.campus.common.config.RedisConnectionFactory],template,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,redisTemplate/1[com.oddfar.campus.common.config.RedisConnectionFactory],connectionFactory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,redisTemplate/1[com.oddfar.campus.common.config.RedisConnectionFactory],serializer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/config/RedisConfig.java,com.oddfar.campus.common.config.RedisConfig,limitScript/0,redisScript,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,page/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],sysConfigEntity,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,page/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],page,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,add/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],config,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,getConfigKey/1[java.lang.String],configKey,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,getInfo/1[java.lang.Long],id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,getInfo/1[java.lang.Long],entity,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,edit/1[com.oddfar.campus.common.domain.entity.SysConfigEntity],config,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-admin/src/main/java/com/oddfar/campus/admin/controller/system/SysConfigController.java,com.oddfar.campus.admin.controller.system.SysConfigController,remove/1[java.lang.Long[]],configIds,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/service/SysDictDataService.java,com.oddfar.campus.framework.service.SysDictDataService,deleteDictDataByIds/1[java.lang.Long[]],dictCodes,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/service/SysDictDataService.java,com.oddfar.campus.framework.service.SysDictDataService,selectDictDataById/1[java.lang.Long],dictCode,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/service/SysDictDataService.java,com.oddfar.campus.framework.service.SysDictDataService,page/1[com.oddfar.campus.common.domain.entity.SysDictDataEntity],dictDataEntity,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/service/SysDictDataService.java,com.oddfar.campus.framework.service.SysDictDataService,insertDictData/1[com.oddfar.campus.common.domain.entity.SysDictDataEntity],dictData,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/service/SysDictDataService.java,com.oddfar.campus.framework.service.SysDictDataService,updateDictData/1[com.oddfar.campus.common.domain.entity.SysDictDataEntity],dictData,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/domain/entity/SysRoleEntity.java,com.oddfar.campus.common.domain.entity.SysRoleEntity,SysRoleEntity/1[java.lang.Long],roleId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-common/src/main/java/com/oddfar/campus/common/domain/entity/SysRoleEntity.java,com.oddfar.campus.common.domain.entity.SysRoleEntity,isAdmin/1[java.lang.Long],roleId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",ip,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",userAgent,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",userName,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",message,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",userId,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,"recordLogininfor/5[java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.Object[]]",status,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/manager/AsyncFactory.java,com.oddfar.campus.framework.manager.AsyncFactory,recordOper/1[com.oddfar.campus.common.domain.entity.SysOperLogEntity],operLog,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/expander/SysConfigExpander.java,com.oddfar.campus.framework.expander.SysConfigExpander,getFileProfile/0,osName,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/mapper/SysLoginLogMapper.java,com.oddfar.campus.framework.mapper.SysLoginLogMapper,selectLogininforPage/1[com.oddfar.campus.common.domain.entity.SysLoginLogEntity],logininfor,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/mapper/SysLoginLogMapper.java,com.oddfar.campus.framework.mapper.SysLoginLogMapper,selectLogininforList/1[com.oddfar.campus.common.domain.entity.SysLoginLogEntity],logininfor,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/interceptor/RepeatSubmitInterceptor.java,com.oddfar.campus.framework.interceptor.RepeatSubmitInterceptor,"isRepeatSubmit/2[com.oddfar.campus.framework.interceptor.HttpServletRequest,com.oddfar.campus.common.annotation.RepeatSubmit]",annotation,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/campus-imaotai/campus-framework/src/main/java/com/oddfar/campus/framework/interceptor/RepeatSubmitInterceptor.java,com.oddfar.campus.framework.interceptor.RepeatSubmitInterceptor,"isRepeatSubmit/2[com.oddfar.campus.framework.interceptor.HttpServletRequest,com.oddfar.campus.common.annotation.RepeatSubmit]",request,0
