file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,destroy/0,fileMonitor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,destroy/0,logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,"init/3[java.lang.String,com.alibaba.otter.canal.client.adapter.rdb.RdbAdapter,java.util.Properties]",envProperties,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,"init/3[java.lang.String,com.alibaba.otter.canal.client.adapter.rdb.RdbAdapter,java.util.Properties]",fileMonitor,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,"init/3[java.lang.String,com.alibaba.otter.canal.client.adapter.rdb.RdbAdapter,java.util.Properties]",rdbAdapter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,"init/3[java.lang.String,com.alibaba.otter.canal.client.adapter.rdb.RdbAdapter,java.util.Properties]",logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,"init/3[java.lang.String,com.alibaba.otter.canal.client.adapter.rdb.RdbAdapter,java.util.Properties]",adapterName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/client-adapter/rdb/src/main/java/com/alibaba/otter/canal/client/adapter/rdb/monitor/RdbConfigMonitor.java,com.alibaba.otter.canal.client.adapter.rdb.monitor.RdbConfigMonitor,"init/3[java.lang.String,com.alibaba.otter.canal.client.adapter.rdb.RdbAdapter,java.util.Properties]",key,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBufferTest.java,com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest,testForceFlush/0,DATE_FORMAT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBufferTest.java,com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest,testForceFlush/0,messgae,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBufferTest.java,com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest,testTransactionFlush/0,DATE_FORMAT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBufferTest.java,com.alibaba.otter.canal.parse.inbound.EventTransactionBufferTest,testTransactionFlush/0,messgae,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/rds/RdsBinlogOpenApi.java,com.alibaba.otter.canal.parse.inbound.mysql.rds.RdsBinlogOpenApi,"listBinlogFiles/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Date,java.util.Date]",logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/rds/RdsBinlogOpenApi.java,com.alibaba.otter.canal.parse.inbound.mysql.rds.RdsBinlogOpenApi,"queryBinlogBackupPolicy/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java,com.alibaba.otter.canal.protocol.CanalPacket$Sub$Builder,buildPartial/0,destination_,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java,com.alibaba.otter.canal.protocol.CanalPacket$Sub$Builder,buildPartial/0,filter_,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/canal/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalPacket.java,com.alibaba.otter.canal.protocol.CanalPacket$Sub$Builder,buildPartial/0,clientId_,1
