file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/BaseFragment.java,it.gmariotti.cardslib.demo.fragment.BaseFragment,setTitle/0,TITLE_NONE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/nativeview/NativeCardWithListFragment.java,it.gmariotti.cardslib.demo.fragment.nativeview.NativeCardWithListFragment,initCard/0,card2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/nativeview/NativeCardWithListFragment.java,it.gmariotti.cardslib.demo.fragment.nativeview.NativeCardWithListFragment,initCard/0,card,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/nativeview/NativeCardWithListFragment.java,it.gmariotti.cardslib.demo.fragment.nativeview.NativeCardWithListFragment,onPause/0,card2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/nativeview/NativeCardWithListFragment.java,it.gmariotti.cardslib.demo.fragment.nativeview.NativeCardWithListFragment,onPause/0,card,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/ShadowFragment.java,it.gmariotti.cardslib.demo.fragment.v1.ShadowFragment,onActivityCreated/1[it.gmariotti.cardslib.demo.fragment.v1.Bundle],mScrollView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/MainActivity.java,it.gmariotti.cardslib.demo.MainActivity,getHelper/0,mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/MainActivity.java,it.gmariotti.cardslib.demo.MainActivity,onDestroy/0,mHelper,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/MainActivity.java,it.gmariotti.cardslib.demo.MainActivity,onSaveInstanceState/1[it.gmariotti.cardslib.demo.Bundle],mSelectedFragment,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/MainActivity.java,it.gmariotti.cardslib.demo.MainActivity,onSaveInstanceState/1[it.gmariotti.cardslib.demo.Bundle],BUNDLE_SELECTEDFRAGMENT,1
