file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/BaseFragment.java,it.gmariotti.cardslib.demo.fragment.BaseFragment,onOptionsItemSelected/1[it.gmariotti.cardslib.demo.fragment.MenuItem],item,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/BaseFragment.java,it.gmariotti.cardslib.demo.fragment.BaseFragment,setTitle/0,titleResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/BaseFragment.java,it.gmariotti.cardslib.demo.fragment.BaseFragment,onActivityCreated/1[it.gmariotti.cardslib.demo.fragment.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,formatCheckedCard/0,checked,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,formatCheckedCard/0,i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,formatCheckedCard/0,sb,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"onActionItemClicked/2[it.gmariotti.cardslib.demo.fragment.v1.ActionMode,it.gmariotti.cardslib.demo.fragment.v1.MenuItem]",mode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"onActionItemClicked/2[it.gmariotti.cardslib.demo.fragment.v1.ActionMode,it.gmariotti.cardslib.demo.fragment.v1.MenuItem]",item,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"MyCardArrayMultiChoiceAdapter/2[it.gmariotti.cardslib.demo.fragment.v1.Context,java.util.List<it.gmariotti.cardslib.library.internal.Card>]",cards,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"MyCardArrayMultiChoiceAdapter/2[it.gmariotti.cardslib.demo.fragment.v1.Context,java.util.List<it.gmariotti.cardslib.library.internal.Card>]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"onItemCheckedStateChanged/6[it.gmariotti.cardslib.demo.fragment.v1.ActionMode,int,long,boolean,it.gmariotti.cardslib.library.view.base.CardViewWrapper,it.gmariotti.cardslib.library.internal.Card]",mode,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"onItemCheckedStateChanged/6[it.gmariotti.cardslib.demo.fragment.v1.ActionMode,int,long,boolean,it.gmariotti.cardslib.library.view.base.CardViewWrapper,it.gmariotti.cardslib.library.internal.Card]",cardView,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cardslib/demo/stock/src/main/java/it/gmariotti/cardslib/demo/fragment/v1/GridGplayCABFragment.java,it.gmariotti.cardslib.demo.fragment.v1.GridGplayCABFragment$MyCardArrayMultiChoiceAdapter,"onItemCheckedStateChanged/6[it.gmariotti.cardslib.demo.fragment.v1.ActionMode,int,long,boolean,it.gmariotti.cardslib.library.view.base.CardViewWrapper,it.gmariotti.cardslib.library.internal.Card]",checked,1
