file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/report/page/storage/config/StorageGroupConfigManager.java,com.dianping.cat.report.page.storage.config.StorageGroupConfigManager$Department,getId/0,m_id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/report/page/storage/config/StorageGroupConfigManager.java,com.dianping.cat.report.page.storage.config.StorageGroupConfigManager$Department,findOrCreateProductline/1[java.lang.String],m_productlines,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/report/page/storage/config/StorageGroupConfigManager.java,com.dianping.cat.report.page.storage.config.StorageGroupConfigManager$Department,Department/1[java.lang.String],m_id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/report/page/storage/config/StorageGroupConfigManager.java,com.dianping.cat.report.page.storage.config.StorageGroupConfigManager$Department,getProductlines/0,m_productlines,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-client/src/main/java/com/dianping/cat/message/encoder/NativeMessageTreeEncoder.java,com.dianping.cat.message.encoder.NativeMessageTreeEncoder$Context,getMessageTree/0,m_tree,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-client/src/main/java/com/dianping/cat/message/encoder/NativeMessageTreeEncoder.java,com.dianping.cat.message.encoder.NativeMessageTreeEncoder$Context,"writeString/2[com.dianping.cat.message.encoder.ByteBuf,java.lang.String]",UTF8,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-client/src/main/java/com/dianping/cat/message/encoder/NativeMessageTreeEncoder.java,com.dianping.cat.message.encoder.NativeMessageTreeEncoder$Context,Context/1[com.dianping.cat.message.MessageTree],m_tree,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/system/page/router/Model.java,com.dianping.cat.system.page.router.Model,getContent/0,m_content,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/system/page/router/Model.java,com.dianping.cat.system.page.router.Model,setContent/1[java.lang.String],m_content,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cat/cat-home/src/main/java/com/dianping/cat/report/page/overload/Handler.java,com.dianping.cat.report.page.overload.Handler,handleOutbound/1[com.dianping.cat.report.page.overload.Context],m_tableCapacityService,1
