file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToString/1[java.lang.Object],false,17,0,1,1,0,2,1,6,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,isNumber/1[java.lang.String],false,308,0,0,0,0,7,2,14,3,2,1,2,0,0,1,3,0,0,0,2,2,0,3,0,0,0,7,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,longValue/1[java.math.BigDecimal],false,411,0,1,1,0,4,3,10,3,1,1,3,0,0,0,1,0,0,0,3,1,0,1,0,0,0,7,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToChar/1[java.lang.Object],false,54,1,1,0,1,6,2,19,4,1,1,2,0,0,0,3,0,0,2,3,1,2,2,0,0,0,13,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,"num/4[char,char,char,char]",false,255,0,0,0,0,9,0,6,2,0,4,0,0,0,0,0,0,4,0,4,0,10,1,0,0,0,5,8,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToLong/1[java.lang.Object],false,322,2,8,5,3,16,14,39,7,4,1,14,2,1,0,4,1,2,7,5,5,1,2,0,0,0,28,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,shortValue/1[java.math.BigDecimal],false,385,0,1,1,0,4,3,10,3,1,1,3,0,0,0,1,0,0,0,3,1,0,1,0,0,0,7,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToFloat/1[java.lang.Object],false,178,1,5,4,1,10,8,22,5,1,1,8,0,0,0,3,0,2,5,4,2,1,2,0,0,0,17,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,longExtractValue/1[java.lang.Number],false,233,0,0,0,0,2,2,6,2,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,"num/9[char,char,char,char,char,char,char,char,char]",false,274,0,0,0,0,19,0,6,2,0,9,0,0,0,0,0,0,9,0,9,0,25,1,0,0,0,10,8,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToBoolean/1[java.lang.Object],false,477,2,6,4,2,17,5,33,9,1,1,5,1,1,0,4,0,1,11,3,1,1,2,0,0,0,17,9,0,false
