file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,getAllStatusCode/0,list,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,getAllStatusCode/0,status,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,getAllStatus/0,list,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,getAllStatus/0,status,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,"StatusEnum/2[java.lang.String,java.lang.String]",code,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,"StatusEnum/2[java.lang.String,java.lang.String]",message,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,findStatus/1[java.lang.String],code,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-common/src/main/java/com/crossoverjie/cim/common/enums/StatusEnum.java,com.crossoverjie.cim.common.enums.StatusEnum,findStatus/1[java.lang.String],status,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,connectServer/1[java.util.function.Consumer<java.lang.Void>],r,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,connectServer/1[java.util.function.Consumer<java.lang.Void>],e,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,connectServer/1[java.util.function.Consumer<java.lang.Void>],success,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,loginServer/0,channelFuture,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,loginServer/0,login,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,sendP2PAsync/1[com.crossoverjie.cim.route.api.vo.req.P2PReqVO],future,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,sendP2PAsync/1[com.crossoverjie.cim.route.api.vo.req.P2PReqVO],p2PReqVO,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cim/cim-client-sdk/src/main/java/com/crossoverjie/cim/client/sdk/impl/ClientImpl.java,com.crossoverjie.cim.client.sdk.impl.ClientImpl,ClientImpl/1[com.crossoverjie.cim.client.sdk.impl.ClientConfigurationData],factory,1
