file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StateManager.java,com.dd.StateManager,saveProgress/1[com.dd.CircularProgressButton],mProgress,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StateManager.java,com.dd.StateManager,StateManager/1[com.dd.CircularProgressButton],mIsEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StateManager.java,com.dd.StateManager,StateManager/1[com.dd.CircularProgressButton],mProgress,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StateManager.java,com.dd.StateManager,isEnabled/0,mIsEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StateManager.java,com.dd.StateManager,getProgress/0,mProgress,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,"CircularProgressDrawable/3[int,int,int]",mSweepAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,"CircularProgressDrawable/3[int,int,int]",mSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,"CircularProgressDrawable/3[int,int,int]",mStrokeWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,"CircularProgressDrawable/3[int,int,int]",mStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,"CircularProgressDrawable/3[int,int,int]",mStartAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,draw/1[com.dd.Canvas],mSweepAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,draw/1[com.dd.Canvas],mPath,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,draw/1[com.dd.Canvas],mStartAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,getSize/0,mSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,createPaint/0,mPaint,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,createPaint/0,mStrokeWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,createPaint/0,mStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,setSweepAngle/1[float],mSweepAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,getRect/0,mRectF,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/CircularProgressDrawable.java,com.dd.CircularProgressDrawable,getRect/0,mStrokeWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,getGradientDrawable/0,mGradientDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,getStrokeWidth/0,mStrokeWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,setStrokeWidth/1[int],mStrokeWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,setStrokeWidth/1[int],mGradientDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,StrokeGradientDrawable/1[com.dd.GradientDrawable],mGradientDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,getStrokeColor/0,mStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,setStrokeColor/1[int],mStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/StrokeGradientDrawable.java,com.dd.StrokeGradientDrawable,setStrokeColor/1[int],mGradientDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,setFromColor/1[int],mFromColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,setDuration/1[int],mDuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,setFromStrokeColor/1[int],mFromStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,setListener/1[com.dd.OnAnimationEndListener],mListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,setToColor/1[int],mToColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,setPadding/1[float],mPadding,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mDuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mDrawable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mToColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mFromColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mToStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mFromStrokeColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mToCornerRadius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/circular-progress-button/library/src/main/java/com/dd/MorphingAnimation.java,com.dd.MorphingAnimation,start/0,mFromCornerRadius,1
