file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,equals/1[java.lang.Object],bootstrapMethod,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,equals/1[java.lang.Object],bootstrapMethodArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,equals/1[java.lang.Object],name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,equals/1[java.lang.Object],descriptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,"ConstantDynamic/4[java.lang.String,java.lang.String,clojure.asm.Handle,java.lang.Object[]]",bootstrapMethod,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,"ConstantDynamic/4[java.lang.String,java.lang.String,clojure.asm.Handle,java.lang.Object[]]",bootstrapMethodArguments,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,"ConstantDynamic/4[java.lang.String,java.lang.String,clojure.asm.Handle,java.lang.Object[]]",name,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,"ConstantDynamic/4[java.lang.String,java.lang.String,clojure.asm.Handle,java.lang.Object[]]",descriptor,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,getBootstrapMethod/0,bootstrapMethod,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,hashCode/0,bootstrapMethod,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,hashCode/0,bootstrapMethodArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,hashCode/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,hashCode/0,descriptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,getBootstrapMethodArguments/0,bootstrapMethodArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,getDescriptor/0,descriptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,toString/0,bootstrapMethod,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,toString/0,bootstrapMethodArguments,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,toString/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,toString/0,descriptor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/asm/ConstantDynamic.java,clojure.asm.ConstantDynamic,getName/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"reduce/2[clojure.lang.IFn,java.lang.Object]",start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"reduce/2[clojure.lang.IFn,java.lang.Object]",count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"reduce/2[clojure.lang.IFn,java.lang.Object]",step,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,first/0,start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"nth/2[int,java.lang.Object]",count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"nth/2[int,java.lang.Object]",start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"nth/2[int,java.lang.Object]",step,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,nth/1[int],start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,nth/1[int],step,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,dropFirst/0,count,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,dropFirst/0,start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,dropFirst/0,step,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"LongChunk/3[long,long,int]",start,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"LongChunk/3[long,long,int]",count,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,"LongChunk/3[long,long,int]",step,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LongRange.java,clojure.lang.LongRange$LongChunk,count/0,count,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/Compiler.java,clojure.lang.Compiler$SetExpr,"emit/3[clojure.lang.Compiler.C,clojure.lang.Compiler.ObjExpr,clojure.asm.commons.GeneratorAdapter]",setMethod,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/Compiler.java,clojure.lang.Compiler$SetExpr,"emit/3[clojure.lang.Compiler.C,clojure.lang.Compiler.ObjExpr,clojure.asm.commons.GeneratorAdapter]",keys,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/Compiler.java,clojure.lang.Compiler$SetExpr,SetExpr/1[clojure.lang.IPersistentVector],keys,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/Compiler.java,clojure.lang.Compiler$SetExpr,eval/0,keys,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LockingTransaction.java,clojure.lang.LockingTransaction$Info,"Info/2[int,long]",startPoint,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LockingTransaction.java,clojure.lang.LockingTransaction$Info,"Info/2[int,long]",latch,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LockingTransaction.java,clojure.lang.LockingTransaction$Info,"Info/2[int,long]",status,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/clojure/src/jvm/clojure/lang/LockingTransaction.java,clojure.lang.LockingTransaction$Info,running/0,status,1
