file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getTrackedRttNanos/0,false,77,1,2,2,0,3,3,13,2,4,0,3,0,0,1,1,0,0,0,4,5,2,1,0,0,0,16,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,toString/0,false,108,1,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,8,2,0,14,0,0,0,0,16,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"addSample/3[long,int,boolean]",false,56,1,2,1,1,2,4,7,2,0,3,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getCandidateRttNanos/0,false,72,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getMaxInFlight/0,false,93,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",true,46,0,1,1,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getSampleCount/0,false,98,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/2[double,int]",true,30,0,5,5,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,11,0,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,didDrop/0,false,103,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/LimiterRegistry.java,com.netflix.concurrency.limits.LimiterRegistry,get/1[java.lang.String],false,24,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
