file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getTrackedRttNanos/0,rttIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getTrackedRttNanos/0,copyOfObservedRtts,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getTrackedRttNanos/0,i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,getTrackedRttNanos/0,zeroBasedRttIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"addSample/3[long,int,boolean]",rtt,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"addSample/3[long,int,boolean]",didDrop,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"addSample/3[long,int,boolean]",inflight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",sampleCount,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",didDrop,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",percentile,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",maxInFlight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",minRtt,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/6[long,int,boolean,java.util.concurrent.atomic.AtomicLongArray,int,double]",observedRtts,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/2[double,int]",windowSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/window/ImmutablePercentileSampleWindow.java,com.netflix.concurrency.limits.limit.window.ImmutablePercentileSampleWindow,"ImmutablePercentileSampleWindow/2[double,int]",percentile,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/LimiterRegistry.java,com.netflix.concurrency.limits.LimiterRegistry,get/1[java.lang.String],key,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/LimiterRegistry.java,com.netflix.concurrency.limits.LimiterRegistry,single/1[com.netflix.concurrency.limits.Limiter<ContextT>],limiter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/LimiterRegistry.java,com.netflix.concurrency.limits.LimiterRegistry,single/1[com.netflix.concurrency.limits.Limiter<ContextT>],key,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-servlet-jakarta/src/test/java/com/netflix/concurrency/limits/ConcurrencyLimitServletFilterSimulationTest.java,com.netflix.concurrency.limits.ConcurrencyLimitServletFilterSimulationTest$HelloServlet,"doGet/2[com.netflix.concurrency.limits.HttpServletRequest,com.netflix.concurrency.limits.HttpServletResponse]",request,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-servlet-jakarta/src/test/java/com/netflix/concurrency/limits/ConcurrencyLimitServletFilterSimulationTest.java,com.netflix.concurrency.limits.ConcurrencyLimitServletFilterSimulationTest$HelloServlet,"doGet/2[com.netflix.concurrency.limits.HttpServletRequest,com.netflix.concurrency.limits.HttpServletResponse]",e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-servlet-jakarta/src/test/java/com/netflix/concurrency/limits/ConcurrencyLimitServletFilterSimulationTest.java,com.netflix.concurrency.limits.ConcurrencyLimitServletFilterSimulationTest$HelloServlet,"doGet/2[com.netflix.concurrency.limits.HttpServletRequest,com.netflix.concurrency.limits.HttpServletResponse]",response,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/measurement/Measurement.java,com.netflix.concurrency.limits.limit.measurement.Measurement,"update/1[java.util.function.Function<java.lang.Number,java.lang.Number>]",operation,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/measurement/Measurement.java,com.netflix.concurrency.limits.limit.measurement.Measurement,add/1[java.lang.Number],sample,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/test/java/com/netflix/concurrency/limits/limit/functions/SquareRootFunctionTest.java,com.netflix.concurrency.limits.limit.functions.SquareRootFunctionTest,confirm0Index/0,func,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/test/java/com/netflix/concurrency/limits/limit/functions/SquareRootFunctionTest.java,com.netflix.concurrency.limits.limit.functions.SquareRootFunctionTest,confirmOutofLookupRange/0,func,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/test/java/com/netflix/concurrency/limits/limit/functions/SquareRootFunctionTest.java,com.netflix.concurrency.limits.limit.functions.SquareRootFunctionTest,confirmMaxIndex/0,func,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/concurrency-limits/concurrency-limits-core/src/main/java/com/netflix/concurrency/limits/limit/measurement/MinimumMeasurement.java,com.netflix.concurrency.limits.limit.measurement.MinimumMeasurement,"update/1[java.util.function.Function<java.lang.Number,java.lang.Number>]",operation,0
