file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,"LoadIconTask/2[int,course.examples.threading.threadinghandlermessages.Handler]",handler,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,"LoadIconTask/2[int,course.examples.threading.threadinghandlermessages.Handler]",resId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,run/0,handler,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,run/0,resId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,onCreate/1[course.examples.ui.tablayout.Bundle],mThumbNailIDs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,"onCreateView/3[course.examples.ui.tablayout.LayoutInflater,course.examples.ui.tablayout.ViewGroup,course.examples.ui.tablayout.Bundle]",mGridview,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,onActivityCreated/1[course.examples.ui.tablayout.Bundle],mThumbNailIDs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,onActivityCreated/1[course.examples.ui.tablayout.Bundle],mGridview,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/FragmentStaticLayout/src/course/examples/fragments/staticlayout/TitlesFragment.java,course.examples.fragments.staticlayout.TitlesFragment,onCreate/1[course.examples.fragments.staticlayout.Bundle],TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/FragmentStaticLayout/src/course/examples/fragments/staticlayout/TitlesFragment.java,course.examples.fragments.staticlayout.TitlesFragment,onDestroy/0,TAG,1
