file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingNoThreading/app/src/main/java/course/examples/threading/nothreading/NoThreadingExample.java,NoThreadingExample,onCreate/1[Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingNoThreading/app/src/main/java/course/examples/threading/nothreading/NoThreadingExample.java,NoThreadingExample,onClickLoadButton/1[View],view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingNoThreading/app/src/main/java/course/examples/threading/nothreading/NoThreadingExample.java,NoThreadingExample,onClickLoadButton/1[View],e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingNoThreading/app/src/main/java/course/examples/threading/nothreading/NoThreadingExample.java,NoThreadingExample,onClickOtherButton/1[View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,"LoadIconTask/2[int,course.examples.threading.threadinghandlermessages.Handler]",handler,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,"LoadIconTask/2[int,course.examples.threading.threadinghandlermessages.Handler]",resId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,sleep/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,run/0,msg,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,run/0,tmp,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/ThreadingHandlerMessages/src/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,run/0,i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingHandlerMessages/app/src/main/java/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,HandlerMessagesActivity,onSaveInstanceState/1[Bundle],outState,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingHandlerMessages/app/src/main/java/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,HandlerMessagesActivity,onSaveInstanceState/1[Bundle],bm,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingHandlerMessages/app/src/main/java/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,HandlerMessagesActivity,onCreate/1[Bundle],savedInstanceState,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingHandlerMessages/app/src/main/java/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,HandlerMessagesActivity,onClickLoadButton/1[View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples2018/ThreadingHandlerMessages/app/src/main/java/course/examples/threading/threadinghandlermessages/HandlerMessagesActivity.java,HandlerMessagesActivity,onClickOtherButton/1[View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,onCreate/1[course.examples.ui.tablayout.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,"onCreateView/3[course.examples.ui.tablayout.LayoutInflater,course.examples.ui.tablayout.ViewGroup,course.examples.ui.tablayout.Bundle]",container,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,"onCreateView/3[course.examples.ui.tablayout.LayoutInflater,course.examples.ui.tablayout.ViewGroup,course.examples.ui.tablayout.Bundle]",savedInstanceState,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,"onCreateView/3[course.examples.ui.tablayout.LayoutInflater,course.examples.ui.tablayout.ViewGroup,course.examples.ui.tablayout.Bundle]",view,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,"onCreateView/3[course.examples.ui.tablayout.LayoutInflater,course.examples.ui.tablayout.ViewGroup,course.examples.ui.tablayout.Bundle]",inflater,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/UITabLayout/src/course/examples/ui/tablayout/GridFragment.java,course.examples.ui.tablayout.GridFragment,onActivityCreated/1[course.examples.ui.tablayout.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/FragmentStaticLayout/src/course/examples/fragments/staticlayout/TitlesFragment.java,course.examples.fragments.staticlayout.TitlesFragment,onCreate/1[course.examples.fragments.staticlayout.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/FragmentStaticLayout/src/course/examples/fragments/staticlayout/TitlesFragment.java,course.examples.fragments.staticlayout.TitlesFragment,"onCreateView/3[course.examples.fragments.staticlayout.LayoutInflater,course.examples.fragments.staticlayout.ViewGroup,course.examples.fragments.staticlayout.Bundle]",container,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/coursera-android/Examples/FragmentStaticLayout/src/course/examples/fragments/staticlayout/TitlesFragment.java,course.examples.fragments.staticlayout.TitlesFragment,"onCreateView/3[course.examples.fragments.staticlayout.LayoutInflater,course.examples.fragments.staticlayout.ViewGroup,course.examples.fragments.staticlayout.Bundle]",savedInstanceState,1
