file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/fetcher/IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,run/0,connMgr,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/fetcher/IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,run/0,shutdown,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/fetcher/IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,IdleConnectionMonitorThread/1[edu.uci.ics.crawler4j.fetcher.PoolingHttpClientConnectionManager],connMgr,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/fetcher/IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,shutdown/0,shutdown,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,setTotalTextSize/1[long],totalTextSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,getTotalTextSize/0,totalTextSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,incTotalLinks/1[int],totalLinks,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,getTotalLinks/0,totalLinks,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,incTotalTextSize/1[int],totalTextSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,getTotalProcessedPages/0,totalProcessedPages,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,incProcessedPages/0,totalProcessedPages,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,setTotalLinks/1[long],totalLinks,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,setTotalProcessedPages/1[int],totalProcessedPages,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,setThread/1[java.lang.Thread],myThread,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,getThread/0,myThread,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,getMyId/0,myId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnhandledException/2[edu.uci.ics.crawler4j.url.WebURL,java.lang.Throwable]",myController,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnhandledException/2[edu.uci.ics.crawler4j.url.WebURL,java.lang.Throwable]",logger,2
