file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Int/1[byte[]],b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Int/1[byte[]],shift,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Int/1[byte[]],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Int/1[byte[]],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,long2ByteArray/1[long],array,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,long2ByteArray/1[long],shift,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,long2ByteArray/1[long],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,long2ByteArray/1[long],l,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,hasCssTextContent/1[java.lang.String],typeStr,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,hasCssTextContent/1[java.lang.String],contentType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Long/1[byte[]],b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Long/1[byte[]],shift,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Long/1[byte[]],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,byteArray2Long/1[byte[]],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,hasBinaryContent/1[java.lang.String],typeStr,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,hasBinaryContent/1[java.lang.String],contentType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,"putIntInByteArray/3[int,byte[],int]",buf,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,"putIntInByteArray/3[int,byte[],int]",offset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,"putIntInByteArray/3[int,byte[],int]",i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,"putIntInByteArray/3[int,byte[],int]",valueOffset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,"putIntInByteArray/3[int,byte[],int]",value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,hasPlainTextContent/1[java.lang.String],typeStr,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,hasPlainTextContent/1[java.lang.String],contentType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,int2ByteArray/1[int],b,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,int2ByteArray/1[int],offset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,int2ByteArray/1[int],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/util/Util.java,edu.uci.ics.crawler4j.util.Util,int2ByteArray/1[int],value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/fetcher/IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,run/0,ignored,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/fetcher/IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,IdleConnectionMonitorThread/1[edu.uci.ics.crawler4j.fetcher.PoolingHttpClientConnectionManager],connMgr,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,setTotalTextSize/1[long],totalTextSize,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,incTotalLinks/1[int],count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,incTotalTextSize/1[int],count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,setTotalLinks/1[long],totalLinks,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j-examples/crawler4j-examples-base/src/test/java/edu/uci/ics/crawler4j/examples/localdata/CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,setTotalProcessedPages/1[int],totalProcessedPages,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,shouldFollowLinksIn/1[edu.uci.ics.crawler4j.url.WebURL],url,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,setThread/1[java.lang.Thread],myThread,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnhandledException/2[edu.uci.ics.crawler4j.url.WebURL,java.lang.Throwable]",e,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnhandledException/2[edu.uci.ics.crawler4j.url.WebURL,java.lang.Throwable]",webUrl,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnhandledException/2[edu.uci.ics.crawler4j.url.WebURL,java.lang.Throwable]",urlStr,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,onContentFetchError/1[edu.uci.ics.crawler4j.crawler.Page],page,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,onRedirectedToInvalidUrl/1[edu.uci.ics.crawler4j.crawler.Page],page,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"shouldVisit/2[edu.uci.ics.crawler4j.crawler.Page,edu.uci.ics.crawler4j.url.WebURL]",referringPage,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"shouldVisit/2[edu.uci.ics.crawler4j.crawler.Page,edu.uci.ics.crawler4j.url.WebURL]",url,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnexpectedStatusCode/4[java.lang.String,int,java.lang.String,java.lang.String]",description,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnexpectedStatusCode/4[java.lang.String,int,java.lang.String,java.lang.String]",urlStr,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnexpectedStatusCode/4[java.lang.String,int,java.lang.String,java.lang.String]",contentType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onUnexpectedStatusCode/4[java.lang.String,int,java.lang.String,java.lang.String]",statusCode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onParseError/2[edu.uci.ics.crawler4j.url.WebURL,edu.uci.ics.crawler4j.crawler.exceptions.ParseException]",e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onParseError/2[edu.uci.ics.crawler4j.url.WebURL,edu.uci.ics.crawler4j.crawler.exceptions.ParseException]",webUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,onParseError/1[edu.uci.ics.crawler4j.url.WebURL],webUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,run/0,halt,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,run/0,t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,run/0,e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,run/0,assignedURLs,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,run/0,curURL,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,handleUrlBeforeProcess/1[edu.uci.ics.crawler4j.url.WebURL],curURL,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onPageBiggerThanMaxSize/2[java.lang.String,long]",pageSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"onPageBiggerThanMaxSize/2[java.lang.String,long]",urlStr,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,visit/1[edu.uci.ics.crawler4j.crawler.Page],page,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"handlePageStatusCode/3[edu.uci.ics.crawler4j.url.WebURL,int,java.lang.String]",statusDescription,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/crawler4j/crawler4j/src/main/java/edu/uci/ics/crawler4j/crawler/WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,"handlePageStatusCode/3[edu.uci.ics.crawler4j.url.WebURL,int,java.lang.String]",webUrl,0
