file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,class,40,41,1,40,18,1,0,10,153,0.0,0.0,0.0,18,5,0,0,0,18,18,13,0,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,3,2,1,0,1,0,0,0,0,40,1024,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/common/vaults/VaultStats.java,org.cryptomator.common.vaults.VaultStats$UpdateStatsService$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/migration/MigrationComponent.java,org.cryptomator.ui.migration.MigrationComponent$Builder,interface,6,6,0,6,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/test/java/org/cryptomator/ui/recoverykey/RecoveryKeyFactoryTest.java,org.cryptomator.ui.recoverykey.RecoveryKeyFactoryTest,class,9,9,0,9,7,1,0,21,0,0.61904764,1.0,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,3,0,1,41,0,0,0,0,0,15,2,13,0,13,0,0,0,0,54,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/launcher/SupportedLanguages.java,org.cryptomator.launcher.SupportedLanguages,class,5,8,3,5,4,1,0,16,0,0.53333336,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,5,3,2,3,0,0,5,0,8,25,1,0,1,0,0,45,2,8,0,10,0,0,0,1,31,1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/fxapp/FxApplicationWindows.java,org.cryptomator.ui.fxapp.FxApplicationWindows,class,26,58,32,26,22,1,0,43,53,0.8285713,0.18181819,1.0,14,0,12,2,0,0,12,0,0,0,15,1,0,15,0,0,15,0,11,112,10,0,3,0,0,7,1,17,0,24,1,0,0,15,96,1,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/keyloading/hub/HubKeyLoadingModule.java,org.cryptomator.ui.keyloading.hub.HubKeyLoadingModule,class,31,31,0,31,31,1,0,16,435,0.0,0.0,0.0,30,17,0,0,0,30,30,13,0,0,0,0,0,0,0,0,0,0,2,75,17,0,0,2,0,5,0,3,0,3,1,0,0,0,61,1025,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/common/vaults/VaultListModule.java,org.cryptomator.common.vaults.VaultListModule,class,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/changepassword/ChangePasswordModule.java,org.cryptomator.ui.changepassword.ChangePasswordModule,class,19,20,1,19,5,1,0,7,10,0.0,0.0,0.0,5,4,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,2,0,1,0,1,0,0,0,0,28,1024,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ipc/LoopbackCommunicator.java,org.cryptomator.ipc.LoopbackCommunicator,class,5,8,3,5,6,1,0,8,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,2,34,1,0,0,2,0,2,0,3,0,3,2,0,0,2,30,0,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/common/WeakBindings.java,org.cryptomator.ui.common.WeakBindings$Anonymous2,anonymous,0,0,0,0,2,1,0,3,0,0.0,0.0,0.0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
