file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindResizeController/1[org.cryptomator.ui.mainwindow.ResizeController],controller,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailNeedsMigrationController/1[org.cryptomator.ui.mainwindow.VaultDetailNeedsMigrationController],controller,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideFxmlLoaderFactory/3[java.util.Map<java.lang.Class<? extends org.cryptomator.ui.common.FxController>,org.cryptomator.ui.mainwindow.Provider<org.cryptomator.ui.common.FxController>>,org.cryptomator.ui.mainwindow.MainWindowSceneFactory,java.util.ResourceBundle]",sceneFactory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideFxmlLoaderFactory/3[java.util.Map<java.lang.Class<? extends org.cryptomator.ui.common.FxController>,org.cryptomator.ui.mainwindow.Provider<org.cryptomator.ui.common.FxController>>,org.cryptomator.ui.mainwindow.MainWindowSceneFactory,java.util.ResourceBundle]",resourceBundle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideFxmlLoaderFactory/3[java.util.Map<java.lang.Class<? extends org.cryptomator.ui.common.FxController>,org.cryptomator.ui.mainwindow.Provider<org.cryptomator.ui.common.FxController>>,org.cryptomator.ui.mainwindow.MainWindowSceneFactory,java.util.ResourceBundle]",factories,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideErrorStage/3[org.cryptomator.ui.mainwindow.Stage,org.cryptomator.ui.common.StageFactory,java.util.ResourceBundle]",factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideErrorStage/3[org.cryptomator.ui.mainwindow.Stage,org.cryptomator.ui.common.StageFactory,java.util.ResourceBundle]",resourceBundle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideErrorStage/3[org.cryptomator.ui.mainwindow.Stage,org.cryptomator.ui.common.StageFactory,java.util.ResourceBundle]",stage,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideErrorStage/3[org.cryptomator.ui.mainwindow.Stage,org.cryptomator.ui.common.StageFactory,java.util.ResourceBundle]",window,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cryptomator/src/main/java/org/cryptomator/ui/mainwindow/MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailMissingVaultController/1[org.cryptomator.ui.mainwindow.VaultDetailMissingVaultController],controller,0
