file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/UnitTest/Robolectric/app/src/androidTest/java/com/commonsware/android/abf/test/DemoContextTest.java,com.commonsware.android.abf.test.DemoContextTest,init/0,field,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/UnitTest/Robolectric/app/src/androidTest/java/com/commonsware/android/abf/test/DemoContextTest.java,com.commonsware.android.abf.test.DemoContextTest,init/0,root,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/UnitTest/Robolectric/app/src/androidTest/java/com/commonsware/android/abf/test/DemoContextTest.java,com.commonsware.android.abf.test.DemoContextTest,exists/0,field,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/UnitTest/Robolectric/app/src/androidTest/java/com/commonsware/android/abf/test/DemoContextTest.java,com.commonsware.android.abf.test.DemoContextTest,position/0,field,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,get/1[T],mField,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,get/1[T],mGetter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,isReadOnly/0,mSetter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,isReadOnly/0,mField,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"set/2[T,V]",mSetter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"set/2[T,V]",mField,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"ReflectiveProperty/3[java.lang.Class<T>,java.lang.Class<V>,java.lang.String]",PREFIX_GET,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"ReflectiveProperty/3[java.lang.Class<T>,java.lang.Class<V>,java.lang.String]",mSetter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"ReflectiveProperty/3[java.lang.Class<T>,java.lang.Class<V>,java.lang.String]",PREFIX_IS,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"ReflectiveProperty/3[java.lang.Class<T>,java.lang.Class<V>,java.lang.String]",mField,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/cw-omnibus/external/NineOldAndroids/src/com/nineoldandroids/util/ReflectiveProperty.java,com.nineoldandroids.util.ReflectiveProperty,"ReflectiveProperty/3[java.lang.Class<T>,java.lang.Class<V>,java.lang.String]",mGetter,7
