file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/portability-test-utilities/src/main/java/org/datatransferproject/test/types/ObjectMapperFactory.java,org.datatransferproject.test.types.ObjectMapperFactory,createObjectMapper/0,objectMapper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleRelease.java,org.datatransferproject.datatransfer.google.musicModels.GoogleRelease,equals/1[java.lang.Object],that,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleRelease.java,org.datatransferproject.datatransfer.google.musicModels.GoogleRelease,equals/1[java.lang.Object],o,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleRelease.java,org.datatransferproject.datatransfer.google.musicModels.GoogleRelease,setReleaseTitle/1[java.lang.String],title,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleRelease.java,org.datatransferproject.datatransfer.google.musicModels.GoogleRelease,setIcpn/1[java.lang.String],icpn,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/portability-api-launcher/src/main/java/org/datatransferproject/api/launcher/AbstractExtension.java,org.datatransferproject.api.launcher.AbstractExtension,initialize/1[org.datatransferproject.api.launcher.ExtensionContext],context,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/security/portability-security-cleartext/src/main/java/org/datatransferproject/security/cleartext/ClearTextKeyGenerator.java,org.datatransferproject.security.cleartext.ClearTextKeyGenerator,ClearTextKeyGenerator/1[org.datatransferproject.security.cleartext.Monitor],monitor,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/security/portability-security-cleartext/src/main/java/org/datatransferproject/security/cleartext/ClearTextKeyGenerator.java,org.datatransferproject.security.cleartext.ClearTextKeyGenerator,generate/0,kpg,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/security/portability-security-cleartext/src/main/java/org/datatransferproject/security/cleartext/ClearTextKeyGenerator.java,org.datatransferproject.security.cleartext.ClearTextKeyGenerator,generate/0,e,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/security/portability-security-cleartext/src/main/java/org/datatransferproject/security/cleartext/ClearTextKeyGenerator.java,org.datatransferproject.security.cleartext.ClearTextKeyGenerator,generate/0,keyPair,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/security/portability-security-cleartext/src/main/java/org/datatransferproject/security/cleartext/ClearTextPublicKeySerializer.java,org.datatransferproject.security.cleartext.ClearTextPublicKeySerializer,serialize/1[byte[]],encodedPublicKey,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/security/portability-security-cleartext/src/main/java/org/datatransferproject/security/cleartext/ClearTextPublicKeySerializer.java,org.datatransferproject.security.cleartext.ClearTextPublicKeySerializer,canHandle/1[java.lang.String],scheme,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,setTitle/1[java.lang.String],title,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,setDuration/1[java.lang.String],duration,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,setReleaseReference/1[org.datatransferproject.datatransfer.google.musicModels.GoogleRelease],releaseReference,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,setIsrc/1[java.lang.String],isrc,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,setExplicitType/1[java.lang.String],explicitType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,setArtistReferences/1[org.datatransferproject.datatransfer.google.musicModels.GoogleArtist[]],artistReferences,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,equals/1[java.lang.Object],that,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/musicModels/GoogleTrack.java,org.datatransferproject.datatransfer.google.musicModels.GoogleTrack,equals/1[java.lang.Object],o,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/common/FailedToListAlbumsException.java,org.datatransferproject.datatransfer.google.common.FailedToListAlbumsException,"FailedToListAlbumsException/2[java.lang.String,java.lang.Exception]",cause,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-google/src/main/java/org/datatransferproject/datatransfer/google/common/FailedToListAlbumsException.java,org.datatransferproject.datatransfer.google.common.FailedToListAlbumsException,"FailedToListAlbumsException/2[java.lang.String,java.lang.Exception]",message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-koofr/src/test/java/org/datatransferproject/transfer/koofr/videos/KoofrVideosExporterTest.java,org.datatransferproject.transfer.koofr.videos.KoofrVideosExporterTest,testExport/0,result,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/data-transfer-project/extensions/data-transfer/portability-data-transfer-koofr/src/test/java/org/datatransferproject/transfer/koofr/videos/KoofrVideosExporterTest.java,org.datatransferproject.transfer.koofr.videos.KoofrVideosExporterTest,testExport/0,jobId,1
