file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,setCreator/1[java.lang.Long],creator,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,setPwd/1[java.lang.String],pwd,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,getTicketRequire/0,ticketRequire,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,getExp/0,exp,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,setUuid/1[java.lang.String],uuid,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,getType/0,type,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,setType/1[java.lang.Integer],type,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,getId/0,id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,getCreator/0,creator,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/share/dao/auto/entity/XpackShare.java,io.dataease.share.dao.auto.entity.XpackShare,setTime/1[java.lang.Long],time,3
