file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"parseTime/3[java.lang.String,java.lang.String,java.lang.String]",false,317,0,0,0,0,3,2,12,1,1,3,2,0,0,0,0,0,0,1,3,3,0,2,0,0,0,6,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,getLogic/1[java.lang.String],false,112,0,1,1,0,4,0,11,3,0,1,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,4,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"matchFunction/2[java.lang.String,java.lang.String]",false,244,0,3,3,0,2,4,9,2,3,2,4,0,0,1,0,0,0,3,0,3,1,1,0,0,0,12,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,allDateFormat2Long/1[java.lang.String],false,274,0,0,0,0,10,3,49,8,8,1,3,0,0,0,1,7,0,19,1,9,5,1,0,0,0,12,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",false,33,8,13,9,4,4,10,15,2,3,7,10,2,1,0,1,1,0,1,1,4,0,2,0,0,0,21,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"replaceSchemaAlias/2[java.lang.String,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",false,265,2,12,11,1,2,10,8,2,2,2,10,0,0,0,0,0,0,3,0,2,1,1,0,0,0,12,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"transDateFormat/2[java.lang.String,java.lang.String]",false,124,0,1,1,0,12,2,35,10,1,2,2,0,0,0,0,0,0,35,0,4,6,1,0,0,0,9,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"isCrossDs/1[java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",false,261,1,15,15,0,2,1,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,getParams/1[java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>],false,428,2,15,15,0,5,7,10,2,1,1,7,0,0,1,0,0,0,0,0,1,0,2,0,0,0,11,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,joinSort/1[java.lang.String],false,28,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,parseDateTimeValue/1[java.lang.String],false,329,0,3,3,0,10,8,90,8,15,1,8,0,0,0,1,7,3,35,20,30,18,1,0,0,0,17,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,transLong2Str/1[java.lang.Long],false,422,0,3,3,0,1,1,5,1,2,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"checkField/3[java.util.Set<java.lang.String>,java.lang.String,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>]",false,221,4,5,2,3,6,15,21,0,4,3,15,1,0,2,0,0,0,7,1,6,2,4,0,0,0,16,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,transFilterTerm/1[java.lang.String],false,160,0,3,3,0,16,0,36,16,0,1,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,15,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,isNeedOrder/1[java.util.List<java.lang.String>],false,254,0,11,11,0,1,6,6,1,3,1,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcSimpleFieldRegex/6[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",false,48,7,4,0,4,4,9,15,2,3,6,9,2,1,0,1,1,0,1,1,4,0,2,0,0,0,22,9,0,false
