file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"parseTime/3[java.lang.String,java.lang.String,java.lang.String]",s,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"parseTime/3[java.lang.String,java.lang.String,java.lang.String]",targetFormat,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"parseTime/3[java.lang.String,java.lang.String,java.lang.String]",time,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"parseTime/3[java.lang.String,java.lang.String,java.lang.String]",sourceFormat,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,getLogic/1[java.lang.String],logic,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"matchFunction/2[java.lang.String,java.lang.String]",r,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"matchFunction/2[java.lang.String,java.lang.String]",originField,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"matchFunction/2[java.lang.String,java.lang.String]",func,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"matchFunction/2[java.lang.String,java.lang.String]",pattern,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"matchFunction/2[java.lang.String,java.lang.String]",m,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,allDateFormat2Long/1[java.lang.String],simpleDateFormat,13
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,allDateFormat2Long/1[java.lang.String],split,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,allDateFormat2Long/1[java.lang.String],e,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,allDateFormat2Long/1[java.lang.String],value,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",datasourceType,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",next,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",originField,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",originFields,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",isCross,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",tableObj,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",i,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",dsMap,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",paramMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"calcFieldRegex/7[java.lang.String,io.dataease.extensions.datasource.model.SQLObj,java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>,boolean,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>,java.util.Map<java.lang.String,java.lang.String>,io.dataease.extensions.datasource.api.PluginManageApi]",pluginManage,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"replaceSchemaAlias/2[java.lang.String,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",dsMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"replaceSchemaAlias/2[java.lang.String,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"replaceSchemaAlias/2[java.lang.String,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",map,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"replaceSchemaAlias/2[java.lang.String,java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",sql,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"transDateFormat/2[java.lang.String,java.lang.String]",dateStyle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"transDateFormat/2[java.lang.String,java.lang.String]",split,12
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"transDateFormat/2[java.lang.String,java.lang.String]",datePattern,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,"isCrossDs/1[java.util.Map<java.lang.Long,io.dataease.extensions.datasource.dto.DatasourceSchemaDTO>]",dsMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,getParams/1[java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>],param,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,getParams/1[java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>],list,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,getParams/1[java.util.List<io.dataease.extensions.datasource.dto.DatasetTableFieldDTO>],dto,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,joinSort/1[java.lang.String],sort,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,parseDateTimeValue/1[java.lang.String],calendar,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,parseDateTimeValue/1[java.lang.String],simpleDateFormat,13
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,parseDateTimeValue/1[java.lang.String],split,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,parseDateTimeValue/1[java.lang.String],e,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/dataease/core/core-backend/src/main/java/io/dataease/engine/utils/Utils.java,io.dataease.engine.utils.Utils,parseDateTimeValue/1[java.lang.String],startTime,20
